timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598924761290,63,HTTP Request,200,OK,#O: Auth Token Service  - Thread Group 1-1,text,true,,638,327,1,1,https://planogram.dev.tuputech.com/v1/api/pi/auth/token/8rqv15ecqsfgkom3r18uehafr875rc9j638c7gfe,63,0,28
1598924761358,235,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-1,text,true,,281,336,8,8,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,235,0,20
1598924761390,225,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-2,text,true,,281,336,7,7,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,225,0,18
1598924761421,221,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-3,text,true,,281,336,7,7,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,221,0,18
1598924761487,272,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-5,text,true,,281,336,10,10,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,272,0,15
1598924761454,308,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-4,text,true,,281,336,9,9,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,308,0,18
1598924761522,257,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-6,text,true,,281,336,8,8,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,257,0,14
1598924761588,323,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-8,text,true,,281,336,11,11,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,323,0,18
1598924761555,369,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-7,text,true,,281,336,11,11,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,369,0,18
1598924761620,322,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-9,text,true,,281,336,10,10,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,322,0,20
