timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598925131713,325,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-3,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,325,0,158
1598925140563,319,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-13,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,319,0,158
1598925142714,280,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-8,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,280,0,117
1598925142780,321,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-23,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,321,0,161
1598925143363,321,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-18,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,321,0,159
1598925143739,320,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-33,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,320,0,160
1598925145568,299,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-48,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,299,0,136
1598925145922,328,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-43,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,328,0,163
1598925146021,282,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-38,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,282,0,119
1598925149762,328,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-28,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,328,0,162
1598925154294,355,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-11,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,355,0,161
1598925157378,330,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-1,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,330,0,164
1598925158039,326,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-41,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,326,0,162
1598925158804,326,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-46,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,326,0,162
1598925159512,324,#G: Trigger Recognition Process - HTTP Request ,200,OK,#E #F #G: Shelf Image Upload 3-4,text,true,,289,911,50,50,https://planogram.dev.tuputech.com//v1/api/pi/WTCCN/recognition,324,0,161
