timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598337057158,1233,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2116387,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1233,0,46
1598337058464,1458,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2371390,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1458,0,0
1598337060011,817,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,1403850,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,817,0,0
1598337060878,1559,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2640267,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1559,0,0
1598337062536,1780,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2616488,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1780,0,0
1598341552858,4014,#F: Shelf Image Upload - HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:443 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",#F #G: Shelf Image Upload 2-1,text,false,,2969,0,1,1,https://localhost/v1/api/pi/WTCCN/image/upload,0,0,4014
1598341560883,4010,#F: Shelf Image Upload - HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:443 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",#F #G: Shelf Image Upload 2-1,text,false,,2969,0,1,1,https://localhost/v1/api/pi/WTCCN/image/upload,0,0,4010
1598341568912,4006,#F: Shelf Image Upload - HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:443 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",#F #G: Shelf Image Upload 2-1,text,false,,2969,0,1,1,https://localhost/v1/api/pi/WTCCN/image/upload,0,0,4006
1598341576925,4005,#F: Shelf Image Upload - HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:443 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",#F #G: Shelf Image Upload 2-1,text,false,,2969,0,1,1,https://localhost/v1/api/pi/WTCCN/image/upload,0,0,4005
1598341584939,4009,#F: Shelf Image Upload - HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:443 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",#F #G: Shelf Image Upload 2-1,text,false,,2969,0,1,1,https://localhost/v1/api/pi/WTCCN/image/upload,0,0,4009
1598344721469,1398,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2116390,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1398,0,39
1598344722926,1297,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2371405,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1297,0,0
1598344724313,1072,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,1403847,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1072,0,0
1598344725428,1658,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2640261,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1658,0,0
1598344727172,7523,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2616491,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,7523,0,0
1598344850399,7334,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2116366,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,7334,0,31
1598344857835,1258,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2371402,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1258,0,0
1598344859148,828,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,1403865,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,828,0,0
1598344860048,1725,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2640270,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1724,0,0
1598344861826,1537,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 5-1,text,true,,371,2616473,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1537,0,0
1598345220811,1642,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2116369,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1642,0,44
1598345222725,1238,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2371399,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1238,0,0
1598345224330,774,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,1403862,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,774,0,0
1598345225360,1487,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2640288,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1487,0,0
1598345227767,2433,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2616488,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,2433,0,0
1598345476409,1244,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2116372,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1244,0,32
1598345484252,1691,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2371405,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1691,0,30
1598345486256,835,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,1403862,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,835,0,34
1598345487322,1748,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2640279,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1748,0,0
1598345489407,7452,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2616482,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,7452,0,0
1598345695883,1190,#F: Shelf Image Upload - HTTP Request,200,OK,#F #G: Shelf Image Upload 4-1,text,true,,371,2116366,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCCN/image/upload,1190,0,32
