timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598923715431,70,HTTP Request,200,OK,#O: Auth Token Service  - Thread Group 1-1,text,true,,638,327,1,1,https://planogram.dev.tuputech.com/v1/api/pi/auth/token/8rqv15ecqsfgkom3r18uehafr875rc9j638c7gfe,70,0,42
1598923715507,200,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-1,text,true,,281,336,5,5,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,200,0,21
1598923715556,241,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-2,text,true,,281,336,5,5,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,241,0,27
1598923715605,255,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-3,text,true,,281,336,6,6,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,255,0,47
1598923715654,290,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-4,text,true,,281,336,6,6,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,290,0,18
1598923715706,323,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-5,text,true,,281,336,7,7,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,323,0,23
1598923715806,280,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-7,text,true,,281,336,7,7,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,280,0,54
1598923715755,363,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-6,text,true,,281,336,7,7,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,363,0,25
1598923716006,278,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-11,text,true,,281,336,9,9,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,278,0,21
1598923716055,307,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-12,text,true,,281,336,10,10,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,307,0,24
1598923715906,507,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-9,text,true,,281,336,10,10,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,507,0,22
1598923716106,336,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-13,text,true,,281,336,9,9,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,336,0,22
1598923715855,593,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-8,text,true,,281,336,8,8,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,593,0,22
1598923715956,531,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-10,text,true,,281,336,8,8,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,530,0,20
1598923716254,273,#P: Cycle Start & Complete - HTTP Request,200,OK,#P: Cycle Start & Complete 2-16,text,true,,281,336,7,7,http://10.82.25.104:7004/ords/space/pogc/cycle_info/,273,0,23
