timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586427159561,59,HTTP Request,200,OK,#O: Auth Token Service  - Thread Group 1-1,text,true,,637,323,1,1,https://planogram.dev.tuputech.com/v1/api/pi/auth/token/8rqv15ecqsfgkom3r18uehafr875rc9j638c7gfe,59,0,28
1586427159624,81,HTTP Request,200,OK,#A: KPIs at HOME   2-1,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,79,0,6
1586427159657,81,HTTP Request,200,OK,#A: KPIs at HOME   2-2,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,79,0,7
1586427159690,86,HTTP Request,200,OK,#A: KPIs at HOME   2-3,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,85,0,10
1586427159723,76,HTTP Request,200,OK,#A: KPIs at HOME   2-4,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,74,0,11
1586427159756,74,HTTP Request,200,OK,#A: KPIs at HOME   2-5,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,72,0,6
1586427159789,70,HTTP Request,200,OK,#A: KPIs at HOME   2-6,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,68,0,6
1586427159822,75,HTTP Request,200,OK,#A: KPIs at HOME   2-7,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,73,0,11
1586427159855,66,HTTP Request,200,OK,#A: KPIs at HOME   2-8,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,65,0,6
1586427159889,69,HTTP Request,200,OK,#A: KPIs at HOME   2-9,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,67,0,7
1586427159920,70,HTTP Request,200,OK,#A: KPIs at HOME   2-10,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,67,0,7
1586427159953,67,HTTP Request,200,OK,#A: KPIs at HOME   2-11,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,66,0,6
1586427159987,73,HTTP Request,200,OK,#A: KPIs at HOME   2-12,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,72,0,7
1586427160020,79,HTTP Request,200,OK,#A: KPIs at HOME   2-13,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,77,0,15
1586427160055,76,HTTP Request,200,OK,#A: KPIs at HOME   2-14,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,75,0,11
1586427160088,73,HTTP Request,200,OK,#A: KPIs at HOME   2-15,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,71,0,8
1586427160120,78,HTTP Request,200,OK,#A: KPIs at HOME   2-16,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,75,0,7
1586427160152,73,HTTP Request,200,OK,#A: KPIs at HOME   2-17,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,71,0,9
1586427160185,73,HTTP Request,200,OK,#A: KPIs at HOME   2-18,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,71,0,8
1586427160218,76,HTTP Request,200,OK,#A: KPIs at HOME   2-19,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,74,0,8
1586427160251,96,HTTP Request,200,OK,#A: KPIs at HOME   2-20,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,93,0,8
1586427160284,73,HTTP Request,200,OK,#A: KPIs at HOME   2-21,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,72,0,8
1586427160317,75,HTTP Request,200,OK,#A: KPIs at HOME   2-22,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,73,0,8
1586427160350,71,HTTP Request,200,OK,#A: KPIs at HOME   2-23,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,69,0,8
1586427160384,74,HTTP Request,200,OK,#A: KPIs at HOME   2-24,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,72,0,9
1586427160417,74,HTTP Request,200,OK,#A: KPIs at HOME   2-25,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,72,0,10
1586427160451,69,HTTP Request,200,OK,#A: KPIs at HOME   2-26,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,69,0,8
1586427160483,77,HTTP Request,200,OK,#A: KPIs at HOME   2-27,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,75,0,10
1586427160515,72,HTTP Request,200,OK,#A: KPIs at HOME   2-28,text,true,,634,265,3,3,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,69,0,8
1586427160548,76,HTTP Request,200,OK,#A: KPIs at HOME   2-29,text,true,,634,265,2,2,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,74,0,7
1586427160581,81,HTTP Request,200,OK,#A: KPIs at HOME   2-30,text,true,,634,265,1,1,http://10.32.186.150:7006/ords/space/pogc/get_kpi_home/,80,0,8
1586427160664,71,HTTP Request,200,OK,#B: Recognition Result  3-1,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,69,0,10
1586427160697,76,HTTP Request,200,OK,#B: Recognition Result  3-2,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,75,0,8
1586427160730,69,HTTP Request,200,OK,#B: Recognition Result  3-3,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,67,0,8
1586427160763,68,HTTP Request,200,OK,#B: Recognition Result  3-4,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,65,0,8
1586427160798,59,HTTP Request,200,OK,#B: Recognition Result  3-5,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,56,0,5
1586427160830,59,HTTP Request,200,OK,#B: Recognition Result  3-6,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,56,0,8
1586427160863,61,HTTP Request,200,OK,#B: Recognition Result  3-7,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,59,0,7
1586427160897,62,HTTP Request,200,OK,#B: Recognition Result  3-8,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,61,0,10
1586427160929,63,HTTP Request,200,OK,#B: Recognition Result  3-9,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,62,0,9
1586427160961,57,HTTP Request,200,OK,#B: Recognition Result  3-10,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,56,0,6
1586427160994,62,HTTP Request,200,OK,#B: Recognition Result  3-11,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,60,0,10
1586427161027,57,HTTP Request,200,OK,#B: Recognition Result  3-12,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,55,0,7
1586427161060,57,HTTP Request,200,OK,#B: Recognition Result  3-13,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,56,0,6
1586427161093,59,HTTP Request,200,OK,#B: Recognition Result  3-14,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,58,0,6
1586427161126,61,HTTP Request,200,OK,#B: Recognition Result  3-15,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,59,0,6
1586427161160,67,HTTP Request,200,OK,#B: Recognition Result  3-16,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,65,0,9
1586427161193,63,HTTP Request,200,OK,#B: Recognition Result  3-17,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,60,0,8
1586427161226,69,HTTP Request,200,OK,#B: Recognition Result  3-18,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,67,0,10
1586427161259,65,HTTP Request,200,OK,#B: Recognition Result  3-19,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,63,0,9
1586427161293,61,HTTP Request,200,OK,#B: Recognition Result  3-20,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,60,0,7
1586427161325,71,HTTP Request,200,OK,#B: Recognition Result  3-21,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,69,0,8
1586427161357,59,HTTP Request,200,OK,#B: Recognition Result  3-22,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,57,0,6
1586427161390,62,HTTP Request,200,OK,#B: Recognition Result  3-23,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,60,0,8
1586427161424,63,HTTP Request,200,OK,#B: Recognition Result  3-24,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,60,0,9
1586427161457,72,HTTP Request,200,OK,#B: Recognition Result  3-25,text,true,,375,329,3,3,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,69,0,9
1586427161489,63,HTTP Request,200,OK,#B: Recognition Result  3-26,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,60,0,7
1586427161524,61,HTTP Request,200,OK,#B: Recognition Result  3-27,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,59,0,8
1586427161555,63,HTTP Request,200,OK,#B: Recognition Result  3-28,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,61,0,7
1586427161589,70,HTTP Request,200,OK,#B: Recognition Result  3-29,text,true,,375,329,2,2,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,67,0,7
1586427161622,59,HTTP Request,200,OK,#B: Recognition Result  3-30,text,true,,375,329,1,1,http://10.32.186.150:7006/ords/space/pogc/recognition_result/,57,0,7
1586427161717,1771,HTTP Request,200,OK,#D: POG Search & Recommendation  4-2,text,true,,607,315,30,30,http://10.32.186.150:7006/ords/space/pogc/recommendation/,1768,0,9
1586427161749,1846,HTTP Request,200,OK,#D: POG Search & Recommendation  4-3,text,true,,607,315,29,29,http://10.32.186.150:7006/ords/space/pogc/recommendation/,1835,0,8
1586427161847,2069,HTTP Request,200,OK,#D: POG Search & Recommendation  4-6,text,true,,607,315,28,28,http://10.32.186.150:7006/ords/space/pogc/recommendation/,2056,0,13
1586427161782,2149,HTTP Request,200,OK,#D: POG Search & Recommendation  4-4,text,true,,607,315,27,27,http://10.32.186.150:7006/ords/space/pogc/recommendation/,2139,0,6
1586427161881,2204,HTTP Request,200,OK,#D: POG Search & Recommendation  4-7,text,true,,607,315,26,26,http://10.32.186.150:7006/ords/space/pogc/recommendation/,2193,0,6
1586427161913,2215,HTTP Request,200,OK,#D: POG Search & Recommendation  4-8,text,true,,607,315,25,25,http://10.32.186.150:7006/ords/space/pogc/recommendation/,2204,0,8
