timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586427167789,129,HTTP Request,200,OK,#E: Shelf Data Upload 5-1,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,129,0,11
1586427167822,113,HTTP Request,200,OK,#E: Shelf Data Upload 5-2,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,113,0,7
1586427167855,101,HTTP Request,200,OK,#E: Shelf Data Upload 5-3,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,101,0,7
1586427167887,106,HTTP Request,200,OK,#E: Shelf Data Upload 5-4,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,106,0,7
1586427167920,116,HTTP Request,200,OK,#E: Shelf Data Upload 5-5,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,116,0,8
1586427167952,112,HTTP Request,200,OK,#E: Shelf Data Upload 5-6,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,112,0,8
1586427167985,111,HTTP Request,200,OK,#E: Shelf Data Upload 5-7,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,111,0,12
1586427168018,109,HTTP Request,200,OK,#E: Shelf Data Upload 5-8,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,109,0,12
1586427168053,154,HTTP Request,200,OK,#E: Shelf Data Upload 5-9,text,true,,291,491,5,5,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,154,0,11
1586427168085,139,HTTP Request,200,OK,#E: Shelf Data Upload 5-10,text,true,,291,491,5,5,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,139,0,9
1586427168119,105,HTTP Request,200,OK,#E: Shelf Data Upload 5-11,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,105,0,7
1586427168151,104,HTTP Request,200,OK,#E: Shelf Data Upload 5-12,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,104,0,11
1586427168184,109,HTTP Request,200,OK,#E: Shelf Data Upload 5-13,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,109,0,9
1586427168217,105,HTTP Request,200,OK,#E: Shelf Data Upload 5-14,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,105,0,8
1586427168250,107,HTTP Request,200,OK,#E: Shelf Data Upload 5-15,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,107,0,7
1586427168283,107,HTTP Request,200,OK,#E: Shelf Data Upload 5-16,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,107,0,6
1586427168315,109,HTTP Request,200,OK,#E: Shelf Data Upload 5-17,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,108,0,7
1586427168349,102,HTTP Request,200,OK,#E: Shelf Data Upload 5-18,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,102,0,7
1586427168383,110,HTTP Request,200,OK,#E: Shelf Data Upload 5-19,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,110,0,10
1586427168416,122,HTTP Request,200,OK,#E: Shelf Data Upload 5-20,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,122,0,14
1586427168449,121,HTTP Request,200,OK,#E: Shelf Data Upload 5-21,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,121,0,10
1586427168481,113,HTTP Request,200,OK,#E: Shelf Data Upload 5-22,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,112,0,7
1586427168514,133,HTTP Request,200,OK,#E: Shelf Data Upload 5-23,text,true,,291,491,5,5,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,133,0,6
1586427168547,137,HTTP Request,200,OK,#E: Shelf Data Upload 5-24,text,true,,291,491,5,5,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,137,0,7
1586427168581,126,HTTP Request,200,OK,#E: Shelf Data Upload 5-25,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,126,0,9
1586427168614,112,HTTP Request,200,OK,#E: Shelf Data Upload 5-26,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,112,0,9
1586427168647,112,HTTP Request,200,OK,#E: Shelf Data Upload 5-27,text,true,,291,491,4,4,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,112,0,7
1586427168679,117,HTTP Request,200,OK,#E: Shelf Data Upload 5-28,text,true,,291,491,3,3,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,117,0,7
1586427168712,103,HTTP Request,200,OK,#E: Shelf Data Upload 5-29,text,true,,291,491,2,2,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,102,0,6
1586427168746,99,HTTP Request,200,OK,#E: Shelf Data Upload 5-30,text,true,,291,491,1,1,http://10.32.186.150:7006/ords/space/pogc/shelf_data/,99,0,8
