timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586427186646,57,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-1,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,57,0,15
1586427186678,56,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-2,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,56,0,17
1586427186722,58,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-3,text,true,,289,812,3,3,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,58,0,17
1586427186744,61,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-4,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,61,0,18
1586427186777,56,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-5,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,56,0,17
1586427186812,59,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-6,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,59,0,17
1586427186844,57,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-7,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,57,0,17
1586427186877,49,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-8,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,49,0,16
1586427186910,55,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-9,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,55,0,16
1586427186944,65,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-10,text,true,,289,812,3,3,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,65,0,26
1586427186977,48,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-11,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,48,0,17
1586427187009,56,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-12,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,56,0,23
1586427187042,53,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-13,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,53,0,17
1586427187074,47,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-14,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,47,0,16
1586427187108,47,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-15,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,47,0,15
1586427187141,51,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-16,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,51,0,19
1586427187174,54,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-17,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,54,0,19
1586427187207,49,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-18,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,49,0,18
1586427187241,53,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-19,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,53,0,16
1586427187273,52,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-20,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,52,0,18
1586427187307,55,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-21,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,55,0,19
1586427187339,59,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-22,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,59,0,15
1586427187372,51,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-23,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,51,0,16
1586427187404,52,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-24,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,52,0,16
1586427187437,52,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-25,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,52,0,19
1586427187470,48,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-26,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,48,0,17
1586427187503,51,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-27,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,51,0,18
1586427187536,62,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-28,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,62,0,18
1586427187570,51,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-29,text,true,,289,812,2,2,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,51,0,18
1586427187603,57,HTTP Request ,200,OK,#G: Trigger Recognition Process  7-30,text,true,,289,812,1,1,https://planogram.dev.tuputech.com//v1/api/pi/WTCTH/recognition,57,0,20
