timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586427187664,71,HTTP Request,200,OK,#K: POG Master Data 8-1,text,true,,250,1285,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,71,0,28
1586427187697,65,HTTP Request,200,OK,#K: POG Master Data 8-2,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,65,0,20
1586427187730,72,HTTP Request,200,OK,#K: POG Master Data 8-3,text,true,,250,1285,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,72,0,21
1586427187763,56,HTTP Request,200,OK,#K: POG Master Data 8-4,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,56,0,19
1586427187796,54,HTTP Request,200,OK,#K: POG Master Data 8-5,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,54,0,18
1586427187828,54,HTTP Request,200,OK,#K: POG Master Data 8-6,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,54,0,17
1586427187861,60,HTTP Request,200,OK,#K: POG Master Data 8-7,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,60,0,18
1586427187894,53,HTTP Request,200,OK,#K: POG Master Data 8-8,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,53,0,17
1586427187928,59,HTTP Request,200,OK,#K: POG Master Data 8-9,text,true,,250,1285,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,59,0,19
1586427187961,56,HTTP Request,200,OK,#K: POG Master Data 8-10,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,56,0,17
1586427187993,60,HTTP Request,200,OK,#K: POG Master Data 8-11,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,60,0,17
1586427188026,67,HTTP Request,200,OK,#K: POG Master Data 8-12,text,true,,250,1286,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,67,0,30
1586427188059,58,HTTP Request,200,OK,#K: POG Master Data 8-13,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,58,0,19
1586427188092,55,HTTP Request,200,OK,#K: POG Master Data 8-14,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,55,0,17
1586427188126,58,HTTP Request,200,OK,#K: POG Master Data 8-15,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,58,0,18
1586427188159,59,HTTP Request,200,OK,#K: POG Master Data 8-16,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,59,0,18
1586427188192,53,HTTP Request,200,OK,#K: POG Master Data 8-17,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,53,0,16
1586427188224,56,HTTP Request,200,OK,#K: POG Master Data 8-18,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,56,0,16
1586427188259,62,HTTP Request,200,OK,#K: POG Master Data 8-19,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,62,0,17
1586427188290,59,HTTP Request,200,OK,#K: POG Master Data 8-20,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,59,0,18
1586427188323,72,HTTP Request,200,OK,#K: POG Master Data 8-21,text,true,,250,1286,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,72,0,20
1586427188358,58,HTTP Request,200,OK,#K: POG Master Data 8-22,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,58,0,20
1586427188390,67,HTTP Request,200,OK,#K: POG Master Data 8-23,text,true,,250,1286,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,67,0,17
1586427188423,53,HTTP Request,200,OK,#K: POG Master Data 8-24,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,53,0,18
1586427188456,54,HTTP Request,200,OK,#K: POG Master Data 8-25,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,54,0,17
1586427188489,52,HTTP Request,200,OK,#K: POG Master Data 8-26,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,52,0,16
1586427188522,108,HTTP Request,200,OK,#K: POG Master Data 8-27,text,true,,250,1286,4,4,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,108,0,16
1586427188554,79,HTTP Request,200,OK,#K: POG Master Data 8-28,text,true,,250,1286,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,79,0,18
1586427188588,59,HTTP Request,200,OK,#K: POG Master Data 8-29,text,true,,250,1286,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,59,0,17
1586427188621,54,HTTP Request,200,OK,#K: POG Master Data 8-30,text,true,,250,1286,1,1,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/planogram,54,0,17
