timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586435254863,61,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-1,text,true,,272,570,4,4,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,61,0,36
1586435254876,48,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-2,text,true,,272,570,4,4,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,48,0,23
1586435254897,49,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-3,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,49,0,25
1586435254915,41,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-4,text,true,,272,570,2,2,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,41,0,17
1586435254936,44,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-5,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,44,0,22
1586435254957,41,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-6,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,41,0,16
1586435254976,43,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-7,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,43,0,19
1586435254995,47,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-8,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,47,0,23
1586435255015,48,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-9,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,48,0,24
1586435255034,42,HTTP Request,200,OK,#N: Recognition Summary - Thread Group 10-10,text,true,,272,570,3,3,https://planogram.dev.tuputech.com/v1/api/pi/WTCTH/summary/daily?startDate=20200101&endDate=20200107,42,0,20
